"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","s31"
"RARRES1",6.0292007099,5.0338578819,5.7483781163,5.9438612228,6.0895001403,4.2044791276,4.1873253624,4.2860530877,5.4658263837,5.8109731712,5.6647631747,4.4665700699,9.5042789754,4.609034441,4.3880506323,6.5724128784,6.5344323995,4.8293803331,5.7667041542,4.7284969894,6.0914105195,4.4192150605,5.9068520101,4.1090834681,5.0164112416,5.89815329,4.4476142731,4.9481395612,5.0145223609,4.0179585646,4.2506314558
"THAP1",13.9930049814,13.6371918917,13.6371918917,13.3900064516,13.8371969202,13.5431521132,13.6581450968,13.5129188955,13.7539740386,13.6884840448,13.4518881843,13.5637326158,13.6541795669,13.7845371717,13.6845587434,13.7893592532,13.7574934889,13.5637326158,13.5383985057,13.4518881843,13.5093681049,13.7622576679,13.7188709734,13.333964291,13.6798184757,13.5804643691,13.6964772758,13.5344937297,13.7985822021,13.5502893648,13.8863023165
"LHFP",3.1256678861,6.9434648466,2.1976360199,1.8547210929,2.2164297984,3.7649998723,2.1857657261,3.6313499414,2.4434474301,6.9000438778,2.0815590509,5.4528869181,2.7831059474,8.1480639978,3.0183441176,2.1831104804,2.4314366771,6.5875635643,2.1314271291,2.5059357758,2.0671181069,2.5880986338,2.5027483587,2.7157726993,6.1190694193,2.3661231272,6.2269471972,2.3895993845,2.2249516594,6.2482672959,3.5513412728
"KIAA0922",9.815261616,11.6625084184,11.0821318026,10.5593612187,10.3834986518,11.5032580817,11.1153160656,11.6978174652,11.6303640912,11.3934950349,11.489734362,11.4884673122,6.0313860382,12.0696592803,10.9892502464,9.5217121211,4.8458772241,11.1480289136,10.3589695206,11.1503278601,10.2048150879,10.1964737782,10.9085504536,9.9615496282,10.8492815588,10.2454474399,10.9767380438,12.4078158186,10.6426052274,11.0666168105,11.0372240087
"LOC643008",7.0620258111,6.2989836751,6.117821114,5.9696870046,6.9139665192,5.1612571103,8.1623484379,6.8820046655,6.6606065155,6.4214120242,6.5771097084,6.758458654,10.9439766991,6.001039297,6.356164234,7.4321324342,8.0907000413,5.9260483573,7.4671190465,4.9621821438,6.0465892546,6.0938953708,5.7608414231,5.7177328087,6.6256653189,7.1841284359,6.3057981992,6.6176065868,6.6204257175,5.9472698643,6.9044470067
"PSMG1",3.2310588456,4.129929177,3.8942633723,4.229601096,4.5978059373,5.7487391065,3.9125611994,4.118643795,3.2657760389,3.4623025802,3.6653388385,3.3519113369,4.6552436485,4.4998033405,4.2401282943,4.4761608645,3.3720486324,4.6354816452,3.0136700194,3.700242071,3.749736393,4.2658705962,3.8093461513,4.099538163,3.1704297722,3.0610689446,3.2036357675,4.2942063098,4.5396487439,3.3124813712,4.7523389427
"GDPD5",4.3412819105,4.4467414891,4.7755425708,4.9217528475,4.6715788074,4.2044791276,5.0300147501,4.5814884894,4.8378079695,4.3315924453,4.8710344385,3.1299090453,5.7041186453,4.3624372114,4.0506173005,5.0922208584,5.0569179963,3.4015539437,3.7155078342,4.4834663179,4.0636710056,4.9612319765,5.3010502292,3.9408262107,4.2577127379,4.5636569528,3.4393540849,3.9954741688,4.5073241961,3.404239066,4.1147172854
"LOC100129890",6.5465535834,7.000566444,7.1086984052,6.8769663151,6.8672096969,6.905826771,6.2253403041,6.7371183065,7.4328061826,6.9644303736,7.7169325266,6.1782294244,7.401234006,6.9121861304,5.7521957548,7.9874073871,6.6905619375,6.5536711592,7.0192475709,6.1304768983,7.2525725705,6.3813268985,7.4492201074,7.3634641784,6.2069003003,7.4635182162,6.6620742726,7.3737647935,7.3892330012,6.8867431331,7.1176929112
"DBI",10.5149969861,11.0079341137,9.4686358899,9.6008343393,9.6962520283,10.3741284415,10.2776429045,10.5733638793,9.924815787,9.6700396898,9.8329008323,10.6833805786,9.1344655349,10.5868312986,10.5215132817,9.3031274987,9.366855917,10.2117545486,10.1314807974,10.768584939,9.8724438275,9.9800261599,9.4330203544,10.7990850171,10.1021154686,10.3399008705,10.333343836,9.3981456093,9.276176286,10.2658734883,9.7256237794
"LIN52",5.9768234274,6.7538343061,7.6812671671,8.3660541225,6.1237769335,7.5218538876,7.6973348705,7.732723786,7.1330191929,7.5735500852,8.8691879657,7.2357337617,6.5315483218,7.7552281697,6.7517709657,7.2329658832,5.3398223991,7.4676534481,7.64936701,7.1490113915,5.8959014773,6.2378796857,8.0203032679,7.9294803126,7.1806045813,8.0173700507,6.2044500357,7.989152821,7.8518129155,8.1005392232,7.5131394158
"PNRC2",9.1791900237,8.8496527284,7.8044789045,8.0091567517,8.1009298412,8.5873975467,8.2068592818,8.5685455253,8.8816594906,8.257290079,7.8107193195,8.4497226732,8.4786905071,8.4949617285,8.4887110633,8.2914299591,6.903772559,8.1697032199,8.3972019007,8.0418793544,8.6616098028,8.5948717322,8.3224991558,8.819631218,7.8888051637,8.3424622632,8.789061649,7.3824138094,8.1121079577,8.2040976631,8.9719644208
"LOC100131530",8.3389613943,6.912342735,8.1257041026,8.5639292162,8.2519286063,7.3010291501,8.1691738655,7.8430527302,7.8953612238,7.4572793579,8.3349973445,7.6898985526,8.546444576,7.9403473297,8.127494116,8.9830520724,8.2440887085,7.1690597269,8.1832181207,8.4334087233,8.2819695711,8.2766344507,7.9680573456,8.5322434907,7.972152852,7.9192041794,7.9169449435,8.5469446037,7.5869622641,7.4694810452,7.1452563419
"INCA1",3.9372918161,5.1287393753,5.133783997,4.1624004631,3.9564681629,5.2520278684,3.0621618718,5.260802285,4.1875569473,4.5918973261,3.3414000037,4.398937391,4.3098025008,4.3624372114,3.69978753,3.8903562407,3.7232656495,4.468287181,2.8586220672,3.7091402073,5.5872563151,3.2494589215,3.4563759159,4.297188925,3.1137804281,3.0404940901,3.7247330943,3.5248752894,3.6964003628,4.9184357581,4.0419442003
"SENP7",5.2791873722,5.0433236908,3.007633762,3.4623025802,2.8740063263,3.6714884047,6.6100405823,4.0430678166,2.5490249769,3.9888479855,3.5937296041,6.106439891,3.1437600422,2.5697150786,5.1967057618,3.049845073,2.8072902507,6.3104681479,2.8803052886,2.7358169999,5.4931201454,4.9975100819,2.6732498656,4.8878868944,4.8840773529,2.4038721312,5.4463988201,4.0612394547,2.8875944032,3.8859484428,2.5359633693
