"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","s31"
"LOC643389",10.6245259921,5.3921501427,10.9520018542,8.1640832191,9.4804853475,6.5200646722,9.281432291,5.6014595482,4.9304128274,4.503539858,6.0111658579,6.8431335761,3.2849113891,4.0718752915,9.045805245,9.5366029705,4.2976095501,4.6354816452,8.3042003387,9.9727633309,9.5352763487,10.0286478927,8.4520391883,7.1429440876,6.9246527164,7.411305818,6.946022749,5.1996899117,8.049764456,6.1293226851,6.6054942767
"XPR1",5.7668596333,4.8607384697,6.3031657782,6.5273068971,5.9929801089,4.5865446025,4.9000636728,5.4805466825,5.535759686,4.9518326948,5.3730300487,5.411283718,7.3293064168,5.1391389879,5.1463451254,5.6058004455,6.6159666351,5.5778185472,6.0778119179,5.6744448173,6.5133042437,6.3167045474,5.7396723448,5.3643201003,5.3600221422,4.8617269639,4.6095309724,5.7664748149,4.793058553,4.4624266993,5.585360825
"RGS5",4.0886043916,4.0024615802,4.4639223815,3.9522443028,5.1271785287,4.2939653138,4.2272888297,4.821124639,5.0254026229,5.6562084575,4.5145196718,3.4113849435,4.504371776,3.7783931552,3.4356750056,4.7561104526,4.3865004799,4.3651678623,3.0849017995,3.7387510465,3.3898793821,4.359896324,4.796931664,3.7633116161,3.23268225,4.0614881525,3.9222645363,3.5915401748,4.6383758854,4.3346135609,3.6332457793
"HMBOX1",4.8691291473,4.6204439533,4.9275691214,4.829806555,4.3209580643,4.7820280962,4.3333263358,4.468287181,4.0316860718,4.7115875097,4.9820554881,4.1066407222,5.2917532793,4.4289680616,3.7247330943,4.8072707908,4.4457178305,3.7280882346,4.7127342258,5.248534687,4.2392701892,4.9612319765,4.9113991731,4.9227801603,4.8877494575,4.6295894632,3.944048316,4.4851789173,4.0010239607,4.7688863929,3.9434143597
"TCEAL8",9.172297148,10.5255379307,9.7910670966,9.8113615999,9.4799853496,9.8440098799,9.9349310495,10.3314178562,10.279884726,10.7963588234,10.4655160779,10.3058331388,9.6856762363,9.975614047,9.3517065011,10.0174366072,10.8076515434,10.4637881759,10.0010790172,9.6930739468,9.476318477,9.8278103173,10.5370773738,9.9917382946,9.8995988321,9.9884643001,10.0816576112,10.2140375515,9.8765788965,10.0273195927,10.6520569043
"AQP9",7.2936326516,5.5156195426,7.8237544054,7.4021479776,7.1310249122,6.272971428,6.6532747861,5.7078640555,5.913590711,6.1111947526,6.8872351991,5.551702489,7.0451059819,6.0332429146,5.4941952686,7.4805843056,6.4630240848,5.5958223488,6.6078613212,6.3398951714,7.0127510833,6.5194383439,6.4164576095,7.0871213679,6.2251343385,6.8815268743,6.919979033,7.8345344199,7.1667529271,6.2617569349,6.5282431484
"LOC728537",5.2024950669,7.3447828003,5.9889440901,6.0830710882,6.4934758814,7.6053165811,7.1072243366,6.794890621,7.5434187296,7.2073385154,6.8557139952,6.4234791816,6.7426566311,7.682414544,6.0771231723,4.8054301927,5.1363792986,7.780243386,6.4140677938,7.303166258,6.6110458237,5.4910526929,6.2398662814,7.6088155099,6.8312291723,6.3060307249,7.3615632851,7.1800789547,7.8973401896,8.0592485371,7.2010286473
"FVT1",8.1001529088,7.85963971,7.3769417315,6.9389990391,7.721204626,7.2261999005,7.7288388057,6.6060821958,6.7806129675,7.6328213977,8.0180246089,7.6701440553,6.1496384428,8.3076477449,7.3498025085,7.5144471146,7.7215179974,7.7413463672,7.4270931543,7.8020110064,7.8930340752,7.2221411216,7.5756481114,6.6912441272,8.4109018723,8.4381335311,8.7523524368,8.3034874413,7.6856923659,7.8789483834,7.0132419797
"TMEM18",9.5754715392,10.0539082345,10.1912881532,10.5666477944,9.7861763284,10.1494493625,9.9115577107,10.1945888914,10.3203477032,10.2863604472,9.8840863403,9.9419535516,11.1398167699,9.7327973071,10.0298318038,9.8736418431,10.1241331075,9.8985614759,9.6854325435,9.8211210933,9.5680277153,10.0619211462,10.2096414534,9.7263125449,9.3830087621,9.1620509246,9.3086910307,9.9797191629,9.5294942969,9.8834832094,9.4761068539
"CCDC121",6.3515623999,7.246629689,4.715497342,5.6806823154,6.0100824402,7.2695947808,7.0976984202,6.8411336991,6.2982028688,6.8055963841,6.7124691496,7.2579991679,7.4830615058,6.7072132115,7.0318978383,5.942047832,5.9785136136,7.1983032792,6.5588800053,8.1151064691,6.4257535888,6.6089853928,6.2271132248,8.0287035987,7.4951295324,6.8176762696,7.2014293168,7.1559121688,6.7434121114,7.3704541505,6.9010804185
"ARHGAP17",8.0233003161,7.349487161,8.5583680514,8.2481938536,8.670830925,8.4327253424,7.4409676181,7.6356961346,7.9651977636,8.4020198543,8.3509413809,7.7267205876,10.6350843312,7.7552281697,7.6067728203,9.490468391,11.0570366439,7.8666137555,8.7074360961,8.1806836196,8.5593240224,8.0178481205,8.1119217544,8.7256105301,7.6850142717,8.5308929299,7.8016264342,8.3232213138,8.9501198302,7.9335504338,8.4982126044
"LOC644029",7.952472937,8.9757945881,7.2632547944,7.8926230276,8.1569425429,7.9611110126,10.0007492834,8.6741347931,8.0337383026,7.4552827289,9.6884948487,8.4259775385,6.651172119,8.1374326056,8.1013765014,7.1896944298,8.5398511362,9.1789750182,8.260722692,8.3308712452,9.3327538002,7.533387695,7.398305037,11.3113485232,9.4971956611,9.9718517561,10.0029920894,9.0728568034,9.2277456695,8.8175106818,8.6351994668
"HSPH1",8.6714598416,8.6382050737,7.1474986581,8.2829537983,7.0101578097,8.8467142375,7.7385126279,8.6157508148,9.7553831577,9.4754655904,6.3451061491,7.7392374643,8.5794596686,8.6011554046,8.4213908052,9.3134109373,8.1608801165,8.3344871772,9.0745105614,8.7244707499,7.4367741303,9.3176006012,9.8230743865,8.2819695711,6.2837641229,8.0517379555,8.1034739899,7.5594757442,9.0578125321,8.6668311002,8.3916178567
"RASA3",12.0774986622,11.3646034071,11.7113883948,11.9688404161,12.020329298,12.5695489758,11.7486671931,11.4989568601,11.3445651637,11.3392679045,12.4861532225,11.9852696242,10.6861066172,12.0375922566,12.3552067788,11.8363617204,12.0639543412,11.8267789738,11.8152919834,12.2013617385,11.8906111723,11.9960492495,11.0614279738,11.9749155852,11.9139429216,12.7172673935,11.6323152446,11.5534780619,12.4449369946,11.2097196187,10.8433054711
"PURA",5.9329406154,5.7466804297,5.8708376494,5.6552975946,5.8704195619,6.1704805918,5.1397768516,6.5543290103,5.8147781338,5.9543968921,5.686890308,5.6562084575,6.3870017357,5.9694260547,6.2357003093,6.2792392703,6.3464912939,6.0398267789,6.4041450612,6.1572580709,6.4511214245,5.9829927553,5.8008672372,6.5610385188,5.542972939,5.9180070053,5.3380931329,6.4479787764,5.0448765884,5.5813615106,5.628637282
"MGLL",10.7654856271,9.6819303685,9.3846328323,10.1032231992,10.0280646033,10.5964194737,9.9661405225,9.4410749968,8.8798890382,9.3269843591,10.512687797,9.9445266906,8.7065265385,9.8657702462,10.6253314595,9.3945472729,10.1222616284,9.5903188488,9.5699724777,10.635560007,10.3040187956,10.414925174,8.4940047766,10.4964544542,9.9189199971,10.9932799093,9.8845894314,9.2577667945,10.2919994026,9.3864037136,9.0706655178
"GGH",9.2359736872,9.2463663546,9.4086960163,9.2050288611,9.0512286204,9.3647769541,9.3947776304,9.7973024225,9.4677203605,9.3592722815,9.4736085887,9.2852797504,9.5581228859,9.1386939297,9.5304264457,9.1231820583,9.1007429229,9.6243341013,9.6423402158,8.8963631013,9.4729778178,9.3880142974,9.1970896552,9.6224285523,9.7739720741,9.3658581629,9.7780791649,9.319072783,9.3033427834,9.58397458,9.54295089
"PLOD3",7.8483370109,8.0584840885,8.9847534791,9.2469110635,8.4526109105,9.4058351021,8.0402072489,8.7727875958,8.7602568627,8.9148295432,8.4198880222,8.7210001206,9.3780475136,9.2058181688,8.2161821719,9.0165477904,8.6235341483,8.4335747287,8.4564308461,8.0746185495,8.4270516208,8.3043871218,9.1390947105,8.0886462567,8.1264092202,8.2981587077,7.9943034263,8.895195899,8.0315926262,8.3088670964,8.7149301999
"EBAG9",6.5206694523,7.4063583967,6.8448838067,6.0222438509,6.3970841606,6.9471368808,6.4736126213,7.0956046794,7.0033903441,6.9725090949,6.2065700736,7.0686285417,6.5122818226,7.3740947061,6.7658637103,6.2647435054,6.5171910172,7.4196267742,6.9351929421,6.2903430207,6.6009429457,6.7255100451,6.9776508674,6.0129794117,6.2953973182,5.2685324555,6.4969881263,6.5679002424,6.4452264415,7.3426932585,7.085033227
"ERGIC3",10.0968349258,9.5961077986,9.5255793916,9.4692517247,9.4669217244,9.9584274419,9.3001648469,9.5042789754,9.9671037127,9.3285924436,9.579576769,9.3791020908,9.6156594079,9.5612635274,9.5124338718,9.0557282663,8.7389906995,9.1834261841,9.5620473059,9.9677204189,9.4346123214,9.6655739095,9.4238457719,9.9640480241,9.1821044659,8.9042767895,9.0877476443,9.745484808,9.415849166,9.4079657644,9.2786821431
"AGTR1",12.1401612608,11.0420170435,11.7196441538,11.5476789178,12.4315709636,11.1684637887,11.0694562649,11.581533701,11.8001394066,11.6384865228,11.4081304348,11.3356345342,11.9798024027,10.768584939,11.5464188735,12.2549271114,12.6180918868,11.2964138533,12.0313325544,11.583928248,12.1704562037,12.107543761,12.7089070063,11.322844789,11.2275460773,11.8052563864,12.1521572963,11.0383870929,11.9229780409,11.0236554235,12.2107000402
"MYOM1",2.6481448671,3.5217777013,3.4290210833,5.0088220856,5.0499228448,3.2293911196,4.7397960771,3.1935187344,3.3258215962,4.8177951053,5.6365967986,3.9285682713,4.8838179014,3.2116705719,3.2635794232,3.655344416,5.1765219387,3.5488575661,4.3821623248,3.4109079501,3.4469232163,2.7965162046,3.7377326879,5.1517646486,2.9223032639,5.2912342796,3.5045142607,4.5863105897,4.7085744236,5.0225798198,3.8046762664
"NIPAL1",4.8373915956,3.8018916593,4.2009645299,3.6444566655,4.6039032881,4.0741856315,4.4180735782,5.4340171473,4.0518894051,4.2426311976,4.1228606761,5.0301858786,5.5041260841,5.2816827218,4.4240854425,4.7026908546,5.0416979706,3.6860328552,4.48877846,4.061871451,3.9462168044,4.7801522001,3.6745654184,5.2429025581,4.3017954686,3.8187682514,4.061871451,4.6036393921,5.3593357561,4.3179765957,4.9971741845
"PTPRB",8.3320128655,9.3981456093,7.8689931685,8.0020714519,8.5586826357,9.1028285296,8.8653868488,8.7470753995,8.8884912699,9.4828967947,8.6616098028,9.0851974418,7.7543323729,9.4210782337,8.3232213138,8.1126880994,8.4085061836,9.3244949384,8.5069529278,7.716152199,8.3064336016,7.7312289008,9.0683685752,9.5176795738,9.6082316988,9.0987806374,9.1998696237,9.7144370019,9.4731632287,9.7208248395,9.2656818005
"SHISA5",4.0417541828,6.0825946843,2.3913995526,2.7483265294,2.4897006803,5.9889440901,2.0338577795,5.0210758371,6.5444442488,5.7828757967,2.8341761462,5.3710193478,2.7258077969,6.9644303736,5.0850777833,2.5373286241,2.5258126528,4.672210497,2.9749777162,6.2235972848,2.4423509738,2.2470018625,4.203416897,3.6985997451,2.2164297984,2.4388226546,3.9085842292,2.639235246,3.6474810292,4.6500906661,3.0023480121
"MRI1",8.3655176735,8.3614492077,8.7206341629,9.0661332356,8.3154014585,8.5384810303,9.320307222,9.6507647362,9.6485002319,8.4423401588,8.7549093508,8.9095863839,7.8183590393,8.6157508148,8.3940301307,8.3780566027,9.2390865534,7.8157961729,9.9228419508,7.3179055565,8.8839158324,8.778893581,9.9927785047,7.9196414135,7.9894267973,9.4375833154,8.695064817,8.3847131221,8.6351994668,7.3351213586,8.778893581
"BBS5",5.7495704224,7.3416381056,4.3695679534,5.3495196319,5.055029257,5.4627066754,5.1065581821,6.7630364716,6.8679878798,7.2156920454,6.0509105885,7.0243179975,5.0595429878,6.4490122391,5.8457903676,4.3719166432,4.8008400587,7.1187924237,5.4501697592,6.4110417987,5.2828225579,6.2003796448,6.9094342091,4.2411006273,5.3113979707,4.9712350602,5.7644970943,4.9058142392,6.5899091202,6.0895001403,6.5981001035
"APRT",11.9428485076,12.9823942527,12.6014683455,12.4078158186,12.6385537565,12.6529449699,13.1704760892,12.6561176398,12.784116506,12.8850407656,13.2506222685,13.0449145398,12.5557006787,12.7282803571,12.5007948482,12.2751239271,12.0572136065,12.9133560233,12.3640326009,12.6073595367,12.107543761,12.0003807866,12.7147259524,12.7942043814,12.0753142914,11.8457661789,12.3615505567,12.9501516099,12.7716475267,12.4680196474,12.6356636256
"EDG1",10.4842463519,9.761751057,9.9022494936,9.7922563056,10.198315194,9.7699004946,10.5034506876,9.6107311137,9.8966704338,9.9349310495,9.7931510153,10.0021667303,10.7582456067,9.8873670385,10.2849413829,10.2753528335,10.3878792809,9.2007328716,10.052042264,9.4702851858,10.1996283502,10.1448666369,9.5325085664,9.4659799,9.8361826868,9.9562465641,9.7664693738,9.8472123794,10.1248380718,9.8579159305,10.365273451
"LOC100133888",8.4542304607,8.089751472,9.048671376,9.0231127411,8.4808349275,7.9386557456,8.3847131221,8.2341852932,8.4025231065,8.4756747221,8.6036874962,7.9585393136,9.0165477904,8.5515858483,8.3910800587,8.8659490498,8.3541047236,8.1149257637,8.2568738135,8.6296816857,8.8115480277,8.5948717322,8.8022450547,7.9814826203,8.2364136854,8.5339727034,8.1546698135,8.5318807055,8.9524313219,8.5578219519,7.9279383302
"TRIM5",7.8810313198,8.1470324498,8.5602205654,8.1727035624,8.3378072695,7.8279385665,8.2867721829,7.9186265769,8.0503782663,8.0396628412,9.623594017,8.4301261896,8.5034250471,8.4679515987,8.7653365784,8.2010667885,8.5211940427,7.9320130942,8.5423630185,8.3333472344,9.0237890014,8.1747528716,8.4261427429,8.6047426027,8.7583000972,8.9203135941,8.255637894,9.1082503998,8.5860378768,8.5305675739,8.5255144988
"SNCAIP",3.6005819954,3.7837121095,4.1642939516,3.8043600398,3.6220651621,4.1136277267,3.4574143631,3.8574780304,2.8880958612,3.2756981313,3.2334517877,3.3002084807,4.6262054945,3.9087488723,5.0472128363,3.5587526041,4.924218645,3.7633116161,3.7625029725,4.4358495169,4.6896092035,4.2580325799,2.9774761857,4.8438001562,3.3586889511,3.514004543,3.5414696818,4.4920301103,3.3253317663,3.2585414603,2.3788505951
"ARHGEF17",8.0723759913,7.0595245953,7.8817557718,7.5582645173,8.368433829,7.002371452,7.0429163174,7.7308713119,8.124202122,8.8786982139,7.8478889193,7.5460364823,7.3081227292,6.9525783959,8.3647156507,8.5114846868,8.6725930732,8.8225790463,7.5597760304,8.994261759,8.1371620464,8.1324540896,7.4929862039,8.8390502188,8.2207739794,7.731854186,7.1295205693,9.1099144363,8.6612428971,8.0692228194,6.9069901559
"RNU4ATAC",2.6397697818,4.1207631639,3.2281578589,4.1547647776,4.4900559875,4.2725518749,3.4952356166,3.2920918405,4.8596344123,3.9408262107,4.0181709842,3.4051702547,4.7951219586,3.8886573758,3.7071599611,4.4312782315,3.9570570293,2.9907741404,3.6437610349,3.8748503403,4.3483672583,4.0518894051,4.5556672894,3.0828886402,3.044940704,5.5922913258,3.6960182949,3.9275611592,4.8385171497,3.4738317284,4.3848312311
"PCTK3",6.8411336991,7.7720438171,7.0346289613,7.7433826277,6.9502993212,7.7397315829,8.1623484379,9.1009587853,7.7402434053,8.2301599286,6.1273047067,7.5828907636,7.2207348745,7.3385174685,6.9774576246,7.4671190465,7.2363472485,7.4069649929,7.7492847046,6.9201389882,6.9436699528,6.2765648415,7.3863809971,7.1563684802,6.4001343167,6.0904477887,7.4315879845,6.1526682047,7.7397315829,7.1729420012,6.4757986033
"NLGN1",6.8714914603,5.6119611736,6.5333851913,6.4212764415,7.1433179128,5.0066001182,6.3368448564,6.0128313067,5.4726440055,4.8418293043,5.8138821272,5.0513347882,2.7683892696,5.2531079319,5.0806350959,6.0207945006,2.3693110202,5.6577797142,6.0137267196,5.9429306811,6.379585742,6.8236643042,5.7548473734,5.9710327582,5.8179990122,6.3582865394,5.8063326014,6.2212402292,5.5191885284,4.6431157021,5.4075956086
"DHPS",4.6553213586,7.4170635981,6.1573951605,6.5674155245,7.80616635,7.1815397287,6.9151904045,6.0706688579,6.4222363189,7.5678508797,7.894324161,7.1667529271,6.3754625914,7.5663589982,7.058643831,6.9640057969,7.2755257818,8.4372120832,6.7962853,6.3566152318,7.0206511181,5.5339058609,6.721690982,8.2565044017,7.5505092043,7.2672953752,8.0844366545,7.9186265769,7.700926371,7.9445438724,6.4949106792
"LOC100190986",6.2513711236,6.396000286,6.0292007099,5.7495704224,6.039185533,6.3540895518,6.3731429678,6.1240027998,6.2616290224,7.0796889596,6.373375312,6.14903366,5.227956561,6.6711440606,6.5348499148,6.5674155245,6.7807526319,6.6147402916,6.1901280096,6.249720136,6.235486752,6.4805997691,6.2824343176,7.6555749184,6.4014613151,6.508439153,6.7208116017,6.9823047939,6.9032391246,7.1117009326,6.6660319638
"SNX29",7.3936510258,8.2968572381,8.4773049478,7.9177289858,8.5040013361,8.1416272302,8.2088397234,7.9161706827,8.1529459746,8.3780566027,9.0653045364,8.1721081963,7.9682017662,7.9220636762,7.6652843162,8.1522382948,9.4165015433,8.5914658849,7.979788474,8.2194442601,8.1712522922,7.6250784049,8.5293462373,8.9719644208,8.1349679452,8.4401767624,8.424242178,9.5929721802,9.2654590415,8.4624286715,8.3534530443
"DUSP9",3.8625903322,3.8184050955,5.7104980134,5.5872563151,4.3879605707,5.701830085,4.0473802421,4.5749967632,4.7684928786,5.2492603292,5.1123157552,5.332401089,5.6897171247,5.015540003,4.6667241308,4.6277226828,5.3552528136,4.888435514,5.2002950379,4.8132555467,4.8470374311,4.980858463,4.1876975717,4.7893054036,4.7070598207,4.8475022447,3.7517160156,4.5749967632,4.20516314,4.8560324667,3.8921806848
"TRIM36",5.7309515097,5.0338578819,5.2718044835,5.6124018008,5.7242138369,4.0311229299,5.1775441799,5.3104661419,5.9552740562,5.6792291821,6.0111658579,5.1554221213,5.6610319661,5.3384620871,5.7704940136,6.1803868232,6.0240862914,5.3603593831,5.357312254,4.9515263784,5.022397341,5.7552951083,5.7921172649,5.6990313562,4.6956652128,5.5367992736,5.4515259942,5.9728032103,6.0940513701,5.588737054,5.897577208
"AP2A1",8.5118252695,9.0747397549,8.4292610484,8.4753385988,8.3149427958,8.4992978925,8.5645604061,7.912554601,7.3661437103,7.8141996391,8.1515183911,7.8155330457,6.8873741883,7.6093279975,7.8348843694,8.4604845455,7.2363472485,7.6027688497,8.026014169,7.7133743308,7.6067728203,8.865230984,8.5585253435,7.1646940558,7.9251427133,8.607458524,8.485328402,8.6894678033,8.6654148957,8.3401675732,8.4057770764
"CRTAC1",5.4183892379,4.4357843556,4.305724424,5.3495196319,5.092005663,4.5950771497,3.9422957791,4.3895125908,2.8620292942,3.9888479855,2.8634103984,4.9284221863,4.2755453397,4.4580927264,4.2202472025,4.8473131228,4.1507317509,2.813159549,5.3034587023,3.4109079501,4.740783825,4.7734999585,5.2711533169,4.7497784193,3.5924325514,3.690374014,2.9165227381,3.1316744506,3.7363878615,3.1124358283,3.5926270215
"SCNN1B",4.7008562158,6.4651752184,8.3638420679,8.3277775034,7.1721384903,5.7487391065,8.5363677948,5.3162911612,5.6760979192,5.9730603785,10.020867804,5.3710193478,4.7217735466,5.8496208228,5.320379556,7.2748204273,4.2942552128,6.5236610928,5.7577122537,5.4578302485,5.1675020034,5.7319309761,5.1601997279,7.0898135416,5.878133653,7.099100566,5.7072338647,9.7596509136,8.2997723254,5.5031444085,5.8048486454
"FAM100A",5.197897622,3.7963561937,3.661507439,4.1316507321,4.6715788074,4.4200030037,4.4554980195,4.4407555843,3.5964875808,4.1547647776,5.2876944815,4.3859003635,3.8233772646,5.1069329196,3.9772629581,3.1000514387,4.3485523206,3.5560736489,3.9921713527,4.5749334728,4.5543683965,4.4667457298,3.1102734549,4.3470352586,3.7102895257,2.9223032639,3.8418946502,4.8300145427,3.9095402449,3.7010284933,3.7177451291
"FNDC3A",7.4676534481,6.2106030183,7.7341896533,7.5183056657,7.7900998285,7.0478473076,6.2453038414,6.5496410287,6.8754501404,6.1836718105,6.9267044938,5.9434099486,7.0978326309,6.6064388397,6.7633593741,7.7599305267,7.7452119968,6.6705205294,6.7912409138,7.1899929744,7.5102747995,7.2515417316,7.4311927862,7.3189356858,6.958837007,6.9044470067,6.9234742736,7.0444441298,7.4943149876,6.4834217817,6.9871289931
"LINGO1",12.5290728147,12.3294050761,12.9681740832,12.6918986142,12.6864321164,12.1315978714,12.1106852871,12.5887540029,12.7741727419,12.6411502357,12.7172673935,12.0659378432,12.4449369946,12.6277422686,12.0794577475,12.7123210916,12.1932545332,12.4101261499,12.7495436125,12.4449369946,12.7597243996,12.9200468999,13.0991382541,12.5069832975,12.4781836019,13.0449145398,12.4986768172,12.5695489758,12.9298180082,12.0147470406,12.9474146087
"LOC652673",9.4559283961,9.8403386493,9.9906354313,10.0930336415,10.3784474636,9.96634654,10.2264059617,9.7982553874,9.9206689746,9.9945628259,10.526323696,9.8318054248,10.0349101541,10.2447303258,9.3981456093,9.815261616,10.3105813312,9.7436409896,9.9169469234,9.7873023677,9.9822600392,9.2577667945,9.9545088463,10.037842949,9.7765444544,9.6768931397,9.8320744566,10.0769949832,10.1021154686,9.8821885861,9.7564868821
"LOC401056",6.1502266709,5.9741601364,5.7328556704,5.3830787816,5.6168332043,5.7190597433,5.1695106133,5.4382575381,6.4577127068,5.5592818461,6.2491647131,4.85906075,6.6540683032,6.4968310515,4.9667609824,5.7637813903,7.2957576325,5.0546643736,5.4631814176,5.8634569802,5.5807946239,4.8717352906,6.1874319563,5.9516349809,6.1585502645,6.0955354214,6.1832496801,6.5830961448,6.590886876,6.6409963827,6.3697025962
"CORO2B",10.9972870789,10.2487494204,10.7271909255,10.3444047782,10.5339873818,10.5475251016,10.9621366558,10.323883412,10.2842892467,10.5726791793,10.501088837,10.459385579,10.7452767856,10.4722779889,11.0443672597,10.9085504536,10.3098295041,10.4658211659,10.4577777912,10.7398388035,11.0897082717,10.7064683034,10.6375966824,10.9586377007,10.9752739062,11.113423504,11.0843906094,10.6920078183,11.3690976581,10.7574411293,10.8787953806
"SLC2A12",7.3957383932,7.856690564,8.8996620797,8.9424331394,8.281200995,7.6212490355,8.3095225075,7.6356961346,8.1970677098,8.0884690716,8.3337492343,8.5792474531,9.1379846983,6.6406494968,7.4183573853,8.6355907108,9.2171434774,7.9253271839,8.3616422375,7.1144953696,8.3845023798,8.3989714095,8.2823741727,8.0122652425,8.2455250715,7.6999490503,8.1737528353,8.4270516208,7.4747228546,7.0837428049,8.0139140097
"KRI1",10.2919994026,12.337548858,3.5576096464,4.2953803264,10.0312187147,12.3640326009,6.4084075278,11.7642395799,12.0414736155,11.5851894867,8.5441836078,11.4771923513,2.5305065276,12.1275389428,11.1406973862,3.7400304945,2.7284160682,11.8923380819,11.2027672097,11.4203036398,9.9468634136,10.3292621047,11.703204561,10.2620280503,10.9306550964,8.3563224588,11.0432261321,8.509240791,10.5316262381,11.0296145814,11.5324545636
"HNRNPA0",8.6204955081,8.724301365,8.8932582329,8.7786817613,9.0218578297,7.4878241405,9.2951628037,8.7061966629,8.6233346429,9.0613672851,8.6441511617,8.465166679,10.1238029756,8.7881101056,8.2012516144,9.1086934251,9.684082276,7.9682017662,8.4947896087,8.1825497963,7.4637053397,8.4911735446,8.8679352596,5.5099878242,8.1935605712,8.5366811783,7.5540197754,9.0759040151,9.1744524705,9.0478426988,7.7557785853
"DFNB31",6.8287310217,6.1773573028,8.8687080248,9.1608239374,8.5374143743,8.607458524,7.0923291668,8.5972998569,8.2326956606,8.116310747,7.686404804,7.3362789525,8.9309109039,7.9766981209,7.4002079291,8.1872956032,8.2799702137,7.4784448437,7.3824138094,7.7462774725,7.7924473138,8.1752049366,7.344659511,7.1259869028,6.9403657152,7.5174713822,6.4969881263,8.2483683369,7.7239940672,7.2791924185,7.1360630095
"LOC440145",7.8183590393,9.2521465417,8.7052323712,9.0134938606,8.9305500098,9.2242689691,9.3431338456,9.2402609093,9.6658159133,9.6306194276,9.8173263822,9.3822658679,10.6920078183,9.9487224379,9.1260531625,8.751764252,9.0440797145,9.6884948487,9.1727248747,9.4609252684,9.5583532658,8.3510998226,9.1896522502,9.859991415,9.3865582449,9.3685678105,9.1383475724,10.4694917378,9.8103506727,10.3537060453,9.1326166116
"LOC729513",7.0937920896,6.3892935982,6.9308791341,6.4936375221,6.7213075886,6.9380335491,6.1928465755,6.8215820628,6.6572664374,6.7569888131,6.336647078,6.2102510015,7.4155643181,6.4356500958,6.2885067014,6.7764732169,6.8631752136,6.1796306214,6.2610747179,6.1341609445,7.2465127028,6.597215292,6.609163009,6.9569760404,5.9773011088,6.5223644206,6.4220630799,6.4479787764,6.6965804592,5.9816400916,6.2642250716
"DHRS12",8.5366811783,6.1055234019,8.2542229545,8.293398462,9.0290464184,6.7723378222,6.9730880087,6.4057163188,6.6121292914,6.3110298809,7.2869938973,6.2254604854,8.1703162089,6.158118725,6.9811799262,8.8461070639,9.1193359071,6.4925761354,7.6082799548,7.2349381431,8.0004471528,8.1190558152,7.309499447,7.6876944505,7.9274048907,7.8696915145,8.2459474425,7.5464950538,8.2000528203,7.0064592415,7.2126819459
"HK1",3.3496943744,4.6551020161,4.9511378368,5.1644125154,5.7781877856,6.1846418081,5.2312944241,4.5220813869,6.2428347626,6.9759281814,6.0053515629,5.8113515707,5.5899697396,5.52065935,6.2735978596,5.1604839321,5.1986539009,6.6404749359,5.1865040604,4.8541224839,4.9176319756,5.5815177026,6.9044470067,2.6827732561,5.0426922167,4.6737171909,5.4681937882,4.9160982079,5.7953716622,6.1524803118,5.0592232323
"LOC100134291",2.2652383098,2.4027525699,5.1285695142,5.5132208127,5.1075074629,5.2272660636,3.6439933456,4.6097878744,4.2907883483,4.6142913178,3.537110033,3.4792942201,5.9769603717,3.9087488723,5.0067530933,4.2595577751,4.0363154305,4.4217550088,3.518679721,4.8358818139,3.3538961406,2.4283507738,3.1185367688,2.6411535226,2.7337160378,3.7684565238,2.5441881764,2.5890884664,4.2322396555,2.5059357758,2.7746228513
"ATP6V0A1",5.089095053,5.9647091228,6.0586826739,5.36639787,6.1624394589,5.0749558036,6.2506290252,5.8023259795,5.4087360738,6.1982702227,5.5403378242,6.4536704683,5.6486295375,5.8254257178,6.0940513701,5.098690583,4.5424512757,6.5549722508,5.2338292837,5.7130906759,5.147970664,4.5939990154,5.4474577797,4.2577127379,5.5305054665,5.5730039112,6.0618553307,5.0138810608,5.8048486454,5.7372868352,5.0592232323
"LOC283932",8.9676336924,8.8600874139,9.6666652713,9.6526161094,9.259026944,9.1231820583,9.0338092315,9.4542130648,9.3552703424,9.2549791495,9.335277123,8.9252315059,10.0033008429,8.9269690389,9.0773875903,9.3592722815,9.7900142146,9.2395394175,9.0974776127,8.8457453074,9.6227000851,9.3134109373,9.4154366037,8.4460715698,8.7703002301,9.3560930319,9.0498338358,9.7746225037,9.3283689941,9.2132716526,9.5812610779
"FAM169B",6.6598295812,7.104257698,8.2981587077,8.1324540896,7.780243386,7.751020325,7.7517096962,8.6548124052,7.6511786785,8.2706783981,8.880070638,7.8378434694,8.8993021611,8.5274340317,7.9832196669,8.1079492758,8.3739276134,7.9383048353,7.9725627673,8.0879086535,8.2898652223,7.3470329492,8.2429346793,5.2622054137,7.4510794351,7.7152290282,6.4526181323,8.3626123712,7.8635437928,7.3134572136,7.0405239197
